文档名称,标题,类型,Github链接,Gitee链接,说明,更新日期
AN01000.pdf,低功耗应用笔记,PWR,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN01000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN01000,本应用说明提供了一些将系统从低功耗模式唤醒的方法，介绍了从软件配置、硬件设计及测量误差等维度排查低功耗模式功耗过大的问题以及睡眠唤醒中的注意事项。,2025/9/10
AN22000.pdf,SDMMC多媒体卡和从模式通信,SDMMC,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN22000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN22000,本应用笔记详细介绍了如何使用沁恒微电子（WCH）的高性能RISC-V微控制器CH32H417的高速SDMMC 接口，来驱动嵌入式多媒体卡（eMMC）和从模式通信。,2025/9/16
AN91000.pdf,基于双核芯片的调试配置及注意事项,工具与开发环境,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN91000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN91000,本文重点介绍CH32H415、416、417 双核芯片，在 MRS2 开发环境下的调试配置，分别列举单核和双核的主要调试流程，以及调试中的注意事项。,2025/11/26
AN17000.pdf,通用MCU系列SPI主机模式使用NSS教程,SPI/I2S,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN17000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN17000,本应用笔记重点介绍如何在SPI主机模式下使用NSS输出功能，以提高通信可靠性。,2025/11/17
AN09000.pdf,通用MCU系列ADC使用及注意事项,ADC/HSADC,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN09000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN09000,本文主要介绍了CH32 通用MCU系列的12-bit ADC的使用方法以及注意事项。ADC主要的静态参数计算；想要在实际应用中达到标称的精度，需要在软件配置端与外围电路的设计上给予足够的重视。,2026/6/16
AN14000.pdf,SerDes使用基础教程,SerDes,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN14000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN14000,本应用笔记将深入探讨 CH32H417 芯片中 SerDes 的使用方法、配置流程、应用场景以 及常见问题与解决方案，帮助用户充分利用该芯片的 SerDes 功能。,2025/11/17
AN08000.pdf,CH32H417/415/416系列DMA使用注意事项,DMA,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN08000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN08000,本应用文档介绍了CH32H417/H416/H415 MCU 的 DMA 特点，分析了 CPU 和 DMA 操作 SRAM 的仲裁优先级，DMA传输速率等。,2025/11/18
AN90000.pdf,CH32H417QEU-R1-1v1开发板使用说明,其他,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN90000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN90000,CH32H417QEU-R1-1v1开发板是基于 沁恒青稞RISC-V5F 和RISC-V3F 双内核CH32H417QEU6微控制器的完整演示与开发平台。,2026/3/23
AN03000.pdf,CH32H417 ICache使用说明,CPU,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03000,CH32H417系列如何使用Icache以提升性能,2026/4/24
AN21000.pdf,SDIO从模式使用说明,SDIO,https://github.com/openwch/ch32_application_notes/blob/main/zh/AN03000,https://gitee.com/SYT_23/ch32_application_notes/tree/main/zh/AN03000,应用笔记介绍了如何使用CH32系列芯片的SDIO接口将其配置为从机设备，以响应外部SDIO主机的命令并进行数据传输。,2025/8/25
